iter	Passed	Remaining
0	12	2393
1	26	2590
2	36	2395
3	75	3692
4	87	3398
5	99	3214
6	107	2973
7	118	2845
8	158	3361
9	166	3165
10	184	3166
11	197	3091
12	253	3648
13	270	3595
14	281	3467
15	293	3377
16	305	3285
17	352	3563
18	362	3453
19	375	3379
20	392	3347
21	440	3561
22	450	3463
23	455	3343
24	475	3328
25	494	3310
26	538	3453
27	554	3404
28	565	3337
29	577	3274
30	597	3256
31	628	3297
32	641	3245
33	652	3187
34	672	3172
35	714	3255
36	725	3195
37	738	3146
38	753	3111
39	766	3065
40	780	3025
41	806	3034
42	828	3025
43	844	2994
44	857	2951
45	868	2907
46	893	2908
47	905	2866
48	916	2825
49	929	2789
50	940	2748
51	951	2707
52	961	2666
53	970	2624
54	981	2587
55	990	2547
56	1009	2532
57	1023	2506
58	1038	2481
59	1043	2435
60	1058	2412
61	1102	2453
62	1113	2421
63	1128	2397
64	1141	2370
65	1152	2340
66	1203	2389
67	1216	2361
68	1230	2336
69	1242	2306
70	1293	2350
71	1302	2315
72	1323	2303
73	1342	2285
74	1353	2256
75	1391	2270
76	1413	2257
77	1428	2234
78	1439	2205
79	1449	2174
80	1480	2174
81	1490	2144
82	1501	2116
83	1515	2092
84	1527	2066
85	1571	2082
86	1581	2054
87	1596	2032
88	1610	2009
89	1629	1991
90	1641	1966
91	1671	1961
92	1685	1939
93	1698	1915
94	1709	1889
95	1723	1867
96	1765	1874
97	1778	1851
98	1788	1824
99	1797	1797
100	1806	1771
101	1858	1786
102	1869	1760
103	1882	1737
104	1895	1715
105	1906	1690
106	1951	1696
107	1968	1676
108	1982	1654
109	2001	1637
110	2037	1633
111	2053	1613
112	2065	1590
113	2077	1567
114	2134	1577
115	2144	1553
116	2154	1528
117	2167	1506
118	2222	1512
119	2231	1487
120	2243	1465
121	2255	1442
122	2270	1421
123	2315	1419
124	2328	1397
125	2339	1373
126	2359	1356
127	2369	1332
128	2408	1325
129	2417	1301
130	2430	1280
131	2441	1257
132	2452	1235
133	2500	1231
134	2515	1211
135	2528	1189
136	2542	1169
137	2554	1147
138	2592	1137
139	2602	1115
140	2613	1093
141	2624	1072
142	2643	1053
143	2654	1032
144	2695	1022
145	2704	1000
146	2716	979
147	2729	959
148	2742	938
149	2752	917
150	2762	896
151	2772	875
152	2785	855
153	2836	847
154	2846	826
155	2856	805
156	2868	785
157	2877	764
158	2933	756
159	2944	736
160	2955	715
161	2970	696
162	2985	677
163	3027	664
164	3037	644
165	3052	625
166	3064	605
167	3116	593
168	3128	573
169	3148	555
170	3159	535
171	3170	516
172	3212	501
173	3225	481
174	3235	462
175	3254	443
176	3306	429
177	3316	409
178	3326	390
179	3337	370
180	3350	351
181	3398	336
182	3413	317
183	3423	297
184	3435	278
185	3446	259
186	3487	242
187	3500	223
188	3517	204
189	3530	185
190	3540	166
191	3578	149
192	3590	130
193	3599	111
194	3609	92
195	3622	73
196	3672	55
197	3681	37
198	3692	18
199	3701	0
